Starting experiment at 05/30/2024 16:58:33
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size left, Pupil Size right
16:58:52, Room_121, 2.190383, (29.1  1.6  131.0), (30.0  0.5  132.7), Chess_01, 3.739273,3.944519
16:58:52, Room_121, 2.210991, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.742004,3.948654
16:58:52, Room_121, 2.21558, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.741928,3.949432
16:58:52, Room_121, 2.214844, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.760666,3.9496
16:58:52, Room_121, 2.213735, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.751907,3.947388
16:58:52, Room_121, 2.209251, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.76149,3.948975
16:58:52, Room_121, 2.208119, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.7724,3.940125
16:58:52, Room_121, 2.206374, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.772644,3.936707
16:58:52, Room_121, 2.201005, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.780136,3.933304
16:58:52, Room_121, 2.195469, (29.2  1.6  131.0), (30.1  0.5  132.7), Chess_01, 3.764603,3.923523
16:58:52, Room_121, 2.191275, (29.2  1.6  131.0), (30.1  0.5  132.6), Chess_01, 3.765045,3.924149
16:58:52, Room_121, 2.186609, (29.2  1.6  131.0), (30.1  0.5  132.6), Chess_01, 3.766434,3.933548
16:58:52, Room_121, 2.184125, (29.2  1.6  131.0), (30.1  0.5  132.6), Chess_01, 3.760132,3.958435
16:58:52, Room_121, 2.183235, (29.2  1.6  131.0), (30.1  0.5  132.6), Chess_01, 3.750259,3.963989
16:58:52, Room_121, 2.185084, (29.2  1.6  131.0), (30.1  0.5  132.6), Chess_01, 3.74881,3.967072
16:58:52, Room_121, 2.135462, (29.1  1.6  131.0), (30.0  0.5  132.6), Chess_01, 3.737579,3.866364
16:58:52, Room_121, 2.143034, (29.1  1.6  131.0), (30.0  0.5  132.6), Chess_01, 3.700729,3.892731
16:58:52, Room_121, 2.159085, (29.1  1.6  131.0), (30.1  0.5  132.6), Chess_01, 3.711823,3.847656
16:58:52, Room_121, 2.084536, (29.2  1.6  131.0), (30.0  0.5  132.5), Chess_01, 3.467499,3.856415
16:58:52, Room_121, 1.43791, (29.1  1.6  131.0), (29.7  0.7  132.0), Football_01, 3.470352,3.638657
16:58:52, Room_121, 1.277277, (29.1  1.6  131.0), (29.5  0.7  131.8), Football_01, 3.471298,3.855515
16:58:52, Room_121, 1.256387, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.699417,3.847443
16:58:52, Room_121, 1.238443, (29.2  1.6  131.0), (29.5  0.7  131.8), Football_01, 3.509735,3.829529
16:58:52, Room_121, 1.254293, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.40657,3.789749
16:58:52, Room_121, 1.271671, (29.2  1.6  131.0), (29.6  0.6  131.8), Football_01, 3.660934,3.710373
16:58:52, Room_121, 1.345734, (29.2  1.6  131.0), (29.6  0.5  131.8), Football_01, 3.353012,3.615448
16:58:52, Room_121, 1.241413, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.446365,3.854309
16:58:52, Room_121, 1.234941, (29.1  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.474716,3.709854
16:58:52, Room_121, 1.250784, (29.1  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.629089,3.716965
16:58:52, Room_121, 1.257216, (29.1  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.602463,3.628937
16:58:52, Room_121, 1.262536, (29.1  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.577713,3.819794
16:58:52, Room_121, 1.281265, (29.1  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.655884,3.721481
16:58:52, Room_121, 1.287772, (29.1  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.630249,3.768951
16:58:52, Room_121, 1.294172, (29.1  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.669098,3.75943
16:58:52, Room_121, 1.294494, (29.1  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.63382,3.762177
16:58:52, Room_121, 1.290766, (29.2  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.655853,3.741165
16:58:52, Room_121, 1.294711, (29.2  1.6  131.0), (29.7  0.7  131.8), Football_01, 3.641129,3.762573
16:58:52, Room_121, 1.290542, (29.2  1.6  131.0), (29.7  0.7  131.8), Football_01, 3.619263,3.797012
16:58:52, Room_121, 1.287144, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.6194,3.75676
16:58:52, Room_121, 1.284485, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.623718,3.776596
16:58:52, Room_121, 1.282411, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.635834,3.799255
16:58:53, Room_121, 1.278242, (29.1  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.672684,3.774796
16:58:53, Room_121, 1.280249, (29.1  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.678314,3.780029
16:58:53, Room_121, 1.287661, (29.1  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.752991,3.837997
16:58:53, Room_121, 1.2847, (29.2  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.674225,3.771866
16:58:53, Room_121, 1.286527, (29.2  1.6  131.0), (29.6  0.7  131.9), Football_01, 3.659042,3.771744
16:58:53, Room_121, 1.28445, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.689285,3.770996
16:58:53, Room_121, 1.276637, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.64563,3.780777
16:58:53, Room_121, 1.27676, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.637558,3.789459
16:58:53, Room_121, 1.279704, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.658966,3.747742
16:58:53, Room_121, 1.278963, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.694473,3.759659
16:58:53, Room_121, 1.275237, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.621002,3.750916
16:58:53, Room_121, 1.284315, (29.2  1.6  131.0), (29.6  0.7  131.8), Football_01, 3.588806,3.755264
