Starting Experiment now at 3/12/2024 10:47:29 AM

Time: 3/12/2024 10:47:36 AM   |     Distance: 3.188563    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.3, 0.1, 2.5)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 5.522552
Time: 3/12/2024 10:47:36 AM   |     Distance: 3.040687    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.2, 0.1, 2.3)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 5.641205
Time: 3/12/2024 10:47:36 AM   |     Distance: 4.374546    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.9, 0.1, 3.6)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 5.980377
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.307913    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.5, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.485535 6.039444
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.306168    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.7, 0.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.844391
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.267528    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.2, 1.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.683456 6.091415
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.241111    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 1.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.632935 6.216141
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.23735    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.773041 6.197998
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.210793    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.1, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.671356 6.245758
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.224108    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.4, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.824768 6.242905
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.233759    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.5, 1.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.67601 6.232849
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.286723    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.8, 1.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.852859 6.408798
Time: 3/12/2024 10:47:37 AM   |     Distance: 4.355284    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.2, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.677536 6.068497
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.85091    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (97.6, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.545914 6.152817
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.922408    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (97.4, 1.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.666718 6.126541
Time: 3/12/2024 10:47:38 AM   |     Distance: 5.000252    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (97.3, 1.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.912094 6.121124
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.439867    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.5, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.805313 6.002457
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.448738    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.5, 1.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.685638 6.013321
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.406477    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (98.6, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.718796 5.912949
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.294643    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.1, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.641144 6.191269
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.253404    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.3, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.521378 6.138565
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.203628    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.6, 1.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.654907 6.411942
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.185546    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.2, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.713104 6.318695
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.198942    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.4, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.907501 6.43425
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.218915    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.5, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.800964 6.30864
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.189639    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.1, 1.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.583496 6.309753
Time: 3/12/2024 10:47:38 AM   |     Distance: 4.189545    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.8, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.602081 6.174347
