Starting Experiment now at 3/8/2024 5:03:18 PM

Time: 3/8/2024 5:03:44 PM   |     Distance: 5.228155    |   Participant Coords: (80.6, 1.7, 29.1)   |   Item Coord: (81.8, 0.1, 24.3)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.602829 4.790237
Time: 3/8/2024 5:03:44 PM   |     Distance: 4.818379    |   Participant Coords: (80.6, 1.7, 29.1)   |   Item Coord: (82.1, 0.1, 24.8)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.603149 4.834976
Time: 3/8/2024 5:03:44 PM   |     Distance: 4.495957    |   Participant Coords: (80.6, 1.7, 29.1)   |   Item Coord: (82.1, 0.1, 25.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.658356 4.784393
Time: 3/8/2024 5:03:44 PM   |     Distance: 4.168307    |   Participant Coords: (80.6, 1.7, 29.1)   |   Item Coord: (81.9, 0.1, 25.5)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.693771 4.770706
Time: 3/8/2024 5:03:44 PM   |     Distance: 4.446161    |   Participant Coords: (80.6, 1.7, 29.1)   |   Item Coord: (82.0, 0.1, 25.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 4.779633 4.78035
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.136    |   Participant Coords: (80.7, 1.7, 29.1)   |   Item Coord: (81.1, 0.1, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 4.745209 4.836746
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.018388    |   Participant Coords: (80.7, 1.8, 29.1)   |   Item Coord: (80.6, 0.4, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 4.662247 4.911392
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.008764    |   Participant Coords: (80.7, 1.8, 29.1)   |   Item Coord: (80.6, 0.4, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 4.879181 4.972305
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.03681    |   Participant Coords: (80.7, 1.8, 29.1)   |   Item Coord: (80.7, 0.3, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 4.907211 4.973572
Time: 3/8/2024 5:03:44 PM   |     Distance: 5.049428    |   Participant Coords: (80.7, 1.8, 29.1)   |   Item Coord: (80.8, 0.2, 24.3)   |  Item: w4  |   Pupil Size (Left, right): 4.979034 4.932831
