Starting Experiment now at 3/8/2024 1:38:27 PM

Time: 3/8/2024 1:39:55 PM   |     Distance: 2.899497    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.1, 0.1, 8.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.873581 3.623047
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.971012    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (18.0, 0.1, 8.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.925095 3.603516
Time: 3/8/2024 1:39:55 PM   |     Distance: 3.010987    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.0, 0.1, 8.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.874756 3.597534
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.558311    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.3, 0.1, 8.7)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.957855 3.761063
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.323715    |   Participant Coords: (20.5, 1.3, 9.3)   |   Item Coord: (18.5, 0.1, 9.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.837357 3.716095
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.299735    |   Participant Coords: (20.4, 1.3, 9.3)   |   Item Coord: (18.5, 0.1, 9.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.953308 3.71843
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.247704    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.6, 0.1, 9.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.94017 3.657959
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.255649    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.6, 0.1, 9.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.830963 3.72908
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.275092    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.5, 0.1, 9.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.89299 3.712234
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.289991    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.5, 0.1, 9.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.924484 3.72876
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.248399    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.6, 0.1, 9.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.965851 3.828369
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.226525    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.6, 0.1, 9.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.842453 3.719513
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.231633    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.6, 0.1, 9.0)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.849777 3.715942
Time: 3/8/2024 1:39:55 PM   |     Distance: 1.995834    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (18.8, 0.1, 9.1)   |  Item: Floor 1  |   Pupil Size (Left, right): 2.933807 -1
Time: 3/8/2024 1:39:55 PM   |     Distance: 1.887214    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (19.0, 0.1, 9.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 2.333557 -1
Time: 3/8/2024 1:39:55 PM   |     Distance: 1.767206    |   Participant Coords: (20.4, 1.3, 9.4)   |   Item Coord: (19.1, 0.1, 9.2)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.108963 -1
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.200573    |   Participant Coords: (20.3, 1.3, 9.3)   |   Item Coord: (18.6, 0.1, 8.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.64595 3.668839
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.150656    |   Participant Coords: (20.3, 1.3, 9.3)   |   Item Coord: (18.6, 0.1, 8.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.760681 3.626648
Time: 3/8/2024 1:39:55 PM   |     Distance: 2.136594    |   Participant Coords: (20.3, 1.3, 9.3)   |   Item Coord: (18.6, 0.1, 8.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.625732 3.509827
Time: 3/8/2024 1:39:56 PM   |     Distance: 2.122025    |   Participant Coords: (20.3, 1.3, 9.3)   |   Item Coord: (18.6, 0.1, 8.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.664169 3.484146
Time: 3/8/2024 1:39:56 PM   |     Distance: 2.077098    |   Participant Coords: (20.3, 1.3, 9.3)   |   Item Coord: (18.7, 0.1, 8.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.645966 3.539886
Time: 3/8/2024 1:39:56 PM   |     Distance: 2.044689    |   Participant Coords: (20.3, 1.3, 9.3)   |   Item Coord: (18.7, 0.1, 8.9)   |  Item: Floor 1  |   Pupil Size (Left, right): 3.631363 3.526611
