Starting Experiment now at 3/8/2024 4:48:13 PM

Time: 3/8/2024 4:48:30 PM   |     Distance: 2.073203    |   Participant Coords: (82.0, 1.6, 29.0)   |   Item Coord: (80.7, 0.1, 28.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.415314 5.612015
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.089241    |   Participant Coords: (82.0, 1.6, 29.0)   |   Item Coord: (80.6, 0.1, 28.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.148163 5.673981
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.013208    |   Participant Coords: (82.0, 1.6, 29.0)   |   Item Coord: (80.8, 0.1, 28.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.210312 5.565186
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.035652    |   Participant Coords: (81.9, 1.6, 28.9)   |   Item Coord: (80.6, 0.1, 29.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.327896 5.762787
Time: 3/8/2024 4:48:30 PM   |     Distance: 2.005429    |   Participant Coords: (81.9, 1.6, 28.9)   |   Item Coord: (80.6, 0.1, 29.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.0923 5.508499
Time: 3/8/2024 4:48:30 PM   |     Distance: 1.954339    |   Participant Coords: (81.9, 1.6, 28.9)   |   Item Coord: (80.7, 0.1, 29.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.158386 5.476944
Time: 3/8/2024 4:48:30 PM   |     Distance: 1.918514    |   Participant Coords: (81.9, 1.6, 29.0)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.218124 5.569839
Time: 3/8/2024 4:48:30 PM   |     Distance: 1.890136    |   Participant Coords: (81.8, 1.6, 29.0)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.180878 5.358566
Time: 3/8/2024 4:48:30 PM   |     Distance: 1.880872    |   Participant Coords: (81.8, 1.6, 29.0)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.090225 5.664688
Time: 3/8/2024 4:48:30 PM   |     Distance: 1.873824    |   Participant Coords: (81.8, 1.6, 29.0)   |   Item Coord: (80.7, 0.1, 28.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.094254 5.615662
