Starting Experiment now at 3/8/2024 12:14:24 PM

Time: 3/8/2024 12:14:42 PM   |     Distance: 11.40634    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.1, 0.0, 0.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.715179 6.019882
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.3967    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.0, 0.0, 0.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.902237 6.032333
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.40153    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.0, 0.0, 0.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.700012 6.008682
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.41248    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.1, 0.0, 0.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.797821 5.993912
Time: 3/8/2024 12:14:42 PM   |     Distance: 11.76847    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.1, 0.0, 1.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.050354 5.95929
Time: 3/8/2024 12:14:42 PM   |     Distance: 12.21178    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.0, 0.0, 1.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.047256 5.930481
Time: 3/8/2024 12:14:42 PM   |     Distance: 13.95031    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.4, 0.0, 3.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.896866 5.883591
Time: 3/8/2024 12:14:42 PM   |     Distance: 13.76757    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.4, 0.0, 3.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.088669 5.973541
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.63344    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.7, 0.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.126404 6.014236
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.70965    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.8, 0.7, 4.3)   |  Item: w2  |   Pupil Size (Left, right): 6.129929 5.972382
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.60199    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.8, 0.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.805344 5.941452
Time: 3/8/2024 12:14:43 PM   |     Distance: 15.04935    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.8, 1.0, 4.6)   |  Item: w2  |   Pupil Size (Left, right): 5.825333 5.934326
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.58618    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.6, 0.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.869293 5.95578
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.57308    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.5, 0.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.027084 5.925247
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.57018    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.5, 0.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.86557 5.908859
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.56785    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.4, 0.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.760178 5.854477
Time: 3/8/2024 12:14:43 PM   |     Distance: 14.59767    |   Participant Coords: (99.8, 1.7, -10.1)   |   Item Coord: (102.5, 0.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.935562 5.880341
